player,position,season,cap_hit,age,total_cap,percent_cap_hit,type
Aaron Ekblad,RD,2014-15,925000,18,69000000,0.013406,Entry_Level
Adam Clendening,RD,2014-15,742500,21,69000000,0.010761,Entry_Level
Adam Erne,LW/RW,2014-15,905000,19,69000000,0.013116,Entry_Level
Adam Henrique,C/LW,2014-15,4000000,24,69000000,0.057971,Standard (1-way)
Adam Larsson,RD,2014-15,900000,21,69000000,0.013043,Standard (1-way)
Adam Lowry,C,2014-15,828333,21,69000000,0.012005,Entry_Level
Adam Pelech,LD,2014-15,854333,19,69000000,0.012382,Entry_Level
Alec Martinez,LD,2014-15,1100000,26,69000000,0.015942,Standard (1-way)
Aleksander Barkov,C,2014-15,925000,18,69000000,0.013406,Entry_Level
Alex Biega,RD,2014-15,600000,26,69000000,0.008696,Standard (1-way)
Alex Chiasson,RW,2014-15,866667,23,69000000,0.01256,Entry_Level
Alex Galchenyuk,LW/C/RW,2014-15,925000,20,69000000,0.013406,Entry_Level
Alex Goligoski,LD/RD,2014-15,4600000,28,69000000,0.066667,Standard (1-way)
Alex Killorn,LW,2014-15,2550000,24,69000000,0.036957,Standard (1-way)
Alex Ovechkin,LW,2014-15,9538462,28,69000000,0.138239,Standard (1-way)
Alex Petrovic,RD,2014-15,795000,22,69000000,0.011522,Entry_Level
Alex Pietrangelo,RD,2014-15,6500000,24,69000000,0.094203,Standard (1-way)
Alexander Edler,LD,2014-15,5000000,28,69000000,0.072464,Standard (1-way)
Alexander Wennberg,C,2014-15,925000,19,69000000,0.013406,Entry_Level
Anders Lee,LW/C,2014-15,850500,23,69000000,0.012326,Standard (2-way)
Andre Burakovsky,LW/RW,2014-15,894167,19,69000000,0.012959,Entry_Level
Andreas Athanasiou,LW/RW,2014-15,628333,19,69000000,0.009106,Entry_Level
Andrej Sekera,LD/RD,2014-15,2750000,28,69000000,0.039855,Standard (1-way)
Andrej Sustr,RD,2014-15,874125,23,69000000,0.012668,Standard (1-way)
Andrew Agozzino,C/LW,2014-15,590000,23,69000000,0.008551,Entry_Level
Andrew Cogliano,LW,2014-15,3000000,27,69000000,0.043478,Standard (1-way)
Andrew Copp,LW/C,2014-15,925000,19,69000000,0.013406,Entry_Level
Andrew Ladd,LW,2014-15,4400000,28,69000000,0.063768,Standard (1-way)
Andrew Shaw,C/RW,2014-15,2000000,22,69000000,0.028986,Standard (1-way)
Andy Andreoff,LW/C,2014-15,550000,23,69000000,0.007971,Standard (2-way)
Andy Greene,LD/RD,2014-15,3000000,31,69000000,0.043478,Standard (1-way)
Anthony Bitetto,LD,2014-15,605000,23,69000000,0.008768,Standard (2-way)
Anthony Deangelo,RD,2014-15,925000,18,69000000,0.013406,Entry_Level
Anthony Duclair,LW/RW,2014-15,772500,18,69000000,0.011196,Entry_Level
Anthony Mantha,RW/LW,2014-15,894167,19,69000000,0.012959,Entry_Level
Antoine Roussel,LW,2014-15,2000000,24,69000000,0.028986,Standard (1-way)
Anton Stralman,RD,2014-15,4500000,27,69000000,0.065217,Standard (1-way)
Anze Kopitar,C,2014-15,6800000,26,69000000,0.098551,Standard (1-way)
Austin Watson,RW/LW,2014-15,900000,22,69000000,0.013043,Entry_Level
Barclay Goodrow,LW/C/RW,2014-15,626667,21,69000000,0.009082,Entry_Level
Ben Chiarot,LD/RD,2014-15,600000,23,69000000,0.008696,Standard (2-way)
Ben Harpur,LD,2014-15,628333,19,69000000,0.009106,Entry_Level
Blake Comeau,RW/LW,2014-15,700000,28,69000000,0.010145,Standard (1-way)
Blake Wheeler,RW/C,2014-15,5600000,27,69000000,0.081159,Standard (1-way)
Bo Horvat,C,2014-15,894167,19,69000000,0.012959,Entry_Level
Boone Jenner,C/LW,2014-15,778333,21,69000000,0.01128,Entry_Level
Brad Hunt,LD,2014-15,550000,25,69000000,0.007971,Entry_Level
Brad Malone,C/LW,2014-15,650000,25,69000000,0.00942,Standard (1-way)
Brad Marchand,LW,2014-15,4500000,26,69000000,0.065217,Standard (1-way)
Brad Richardson,C,2014-15,1150000,29,69000000,0.016667,Standard (1-way)
Brandon Davidson,LD,2014-15,615000,22,69000000,0.008913,Entry_Level
Brandon Saad,LW/RW,2014-15,764167,21,69000000,0.011075,Entry_Level
Brandon Sutter,RW/C,2014-15,3300000,25,69000000,0.047826,Standard (1-way)
Brayden Mcnabb,LD,2014-15,650000,23,69000000,0.00942,Standard (1-way)
Brayden Schenn,C/LW,2014-15,2500000,22,69000000,0.036232,Standard (1-way)
Brendan Gallagher,RW,2014-15,685000,22,69000000,0.009928,Entry_Level
Brendan Gaunce,LW/C,2014-15,863333,20,69000000,0.012512,Entry_Level
Brendan Perlini,RW/LW,2014-15,925000,18,69000000,0.013406,Entry_Level
Brendan Smith,LD/RD,2014-15,1262500,25,69000000,0.018297,Standard (1-way)
Brenden Dillon,LD,2014-15,1250000,23,69000000,0.018116,Standard (1-way)
Brent Burns,RD,2014-15,5760000,29,69000000,0.083478,Standard (1-way)
Brent Seabrook,RD,2014-15,5800000,29,69000000,0.084058,Standard (1-way)
Brett Connolly,RW/LW,2014-15,850500,22,69000000,0.012326,Standard (2-way)
Brett Kulak,LD/RD,2014-15,656667,20,69000000,0.009517,Entry_Level
Brett Ritchie,RW,2014-15,814167,21,69000000,0.0118,Entry_Level
Brian Boyle,LW/C,2014-15,2000000,29,69000000,0.028986,Standard (1-way)
Brian Dumoulin,LD,2014-15,831667,22,69000000,0.012053,Entry_Level
Brian Flynn,RW,2014-15,637500,25,69000000,0.009239,Standard (1-way)
Brian Lashoff,LD,2014-15,725000,23,69000000,0.010507,Standard (1-way)
Brock Mcginn,LW/RW,2014-15,811667,20,69000000,0.011763,Entry_Level
Brock Nelson,C/LW,2014-15,900000,22,69000000,0.013043,Entry_Level
Bryan Little,C/RW,2014-15,4700000,26,69000000,0.068116,Standard (1-way)
Bryan Rust,RW/LW,2014-15,652500,22,69000000,0.009457,Entry_Level
Buddy Robinson,RW,2014-15,925000,22,69000000,0.013406,Entry_Level
Cal Clutterbuck,RW,2014-15,2750000,26,69000000,0.039855,Standard (1-way)
Calle Jarnkrok,LW/C/RW,2014-15,715000,22,69000000,0.010362,Entry_Level
Calvin De Haan,LD/RD,2014-15,1966667,23,69000000,0.028502,Standard (1-way)
Cam Atkinson,RW/LW,2014-15,1150000,25,69000000,0.016667,Standard (1-way)
Cam Fowler,LD/RD,2014-15,4000000,22,69000000,0.057971,Standard (1-way)
Carl Hagelin,LW,2014-15,2250000,25,69000000,0.032609,Standard (1-way)
Carter Verhaeghe,LW/C,2014-15,809167,18,69000000,0.011727,Entry_Level
Casey Cizikas,C,2014-15,1000000,23,69000000,0.014493,Standard (1-way)
Cedric Paquette,C/LW/RW,2014-15,633333,20,69000000,0.009179,Entry_Level
Chad Ruhwedel,RD,2014-15,650000,24,69000000,0.00942,Standard (2-way)
Chandler Stephenson,C/LW,2014-15,725833,20,69000000,0.010519,Entry_Level
Charles Hudon,LW/RW,2014-15,625000,20,69000000,0.009058,Entry_Level
Charlie Coyle,C/RW,2014-15,900000,22,69000000,0.013043,Entry_Level
Chris Kreider,LW,2014-15,2475000,23,69000000,0.03587,Standard (1-way)
Chris Tierney,C,2014-15,711667,19,69000000,0.010314,Entry_Level
Chris Wagner,RW/C,2014-15,900000,23,69000000,0.013043,Entry_Level
Chris Wideman,RD,2014-15,700000,24,69000000,0.010145,Standard (2-way)
Christopher Tanev,RD,2014-15,2000000,24,69000000,0.028986,Standard (1-way)
Claude Giroux,C/RW,2014-15,8275000,26,69000000,0.119928,Standard (1-way)
Cody Ceci,RD,2014-15,894167,20,69000000,0.012959,Entry_Level
Cody Eakin,C,2014-15,1900000,23,69000000,0.027536,Standard (1-way)
Colin Miller,RD,2014-15,602500,21,69000000,0.008732,Entry_Level
Colton Sceviour,RW/C,2014-15,650000,25,69000000,0.00942,Standard (1-way)
Colton Sissons,RW/C,2014-15,635000,20,69000000,0.009203,Entry_Level
Connor Brown,LW/RW,2014-15,686667,20,69000000,0.009952,Entry_Level
Connor Carrick,RD,2014-15,636667,20,69000000,0.009227,Entry_Level
Connor Murphy,RD,2014-15,863333,21,69000000,0.012512,Entry_Level
Corey Perry,RW,2014-15,8625000,29,69000000,0.125,Standard (1-way)
Craig Smith,RW/C,2014-15,2000000,24,69000000,0.028986,Standard (1-way)
Curtis Lazar,C/RW,2014-15,894167,19,69000000,0.012959,Entry_Level
