PLAYER,AGE,POS,GP,G,A,P,P/GP,PLUSMINUS,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,W,L,SO,GAA,Sv%,GA60,xGA60,GSAx60,TYPE,EXPIRY,CAP HIT,CAP HIT %
Connor McDavid,22,C,64,34,63,97,1.52,-6,212,0.16,21:51:00,26.31,212,339,265,1.12,9.09,14.53,11.36,846,698,54.79,1504,1211,55.4,1156,937,55.23,98.04,70.98,58,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"12,500,000",0.1670
Artemi Panarin,27,LW,69,32,63,95,1.38,36,209,0.15,20:36:00,20.02,209,403,297,0.84,8.82,17.01,12.53,919,643,58.83,1620,1186,57.73,1276,907,58.45,94.28,65.29,59.08,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"11,642,857",0.1430
Auston Matthews,21,C,70,47,33,80,1.14,19,290,0.16,20:58:00,29.69,290,504,398,1.21,11.85,20.6,16.27,966,668,59.12,1745,1232,58.62,1329,952,58.26,98.91,64.87,60.39,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"11,634,000",0.1460
Erik Karlsson,29,RD,56,6,34,40,0.71,-15,120,0.05,24:31:00,4.9,121,245,164,0.21,5.29,10.7,7.17,759,681,52.71,1365,1193,53.36,1022,919,52.65,75.15,78.22,49,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"11,500,000",0.1450
Drew Doughty,29,RD,67,7,28,35,0.52,-16,141,0.05,25:49:00,8.65,141,301,202,0.3,4.88,10.44,7.01,897,883,50.39,1671,1568,51.59,1269,1233,50.72,85.01,87.48,49.28,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"11,000,000",0.1380
John Tavares,28,C,63,26,34,60,0.95,-7,197,0.13,19:32:00,22.98,197,357,287,1.12,9.6,17.39,13.98,787,586,57.32,1444,1021,58.58,1114,810,57.9,82.37,59.03,58.25,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"11,000,000",0.1380
Mitchell Marner,22,RW,59,16,51,67,1.14,6,154,0.1,21:33:00,16.03,154,277,211,0.76,7.27,13.07,9.96,743,635,53.92,1360,1171,53.73,1046,889,54.06,81.16,62.79,56.38,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"10,893,000",0.1340
Jonathan Toews,31,C,70,18,42,60,0.86,-2,172,0.1,19:46:00,20.14,172,285,226,0.87,7.45,12.35,9.78,824,843,49.43,1521,1361,52.78,1122,1055,51.54,89.14,82.96,51.8,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"10,500,000",0.1520
Carey Price,31,G,58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,25,4,2.79,0.909,2.79,2.61,-0.18,Standard (1-way),UFA,"10,500,000",0.1400
Patrick Kane,30,RW,70,33,51,84,1.2,8,275,0.12,21:20:00,25.28,275,464,340,1.02,11.05,18.64,13.66,915,791,53.63,1633,1327,55.17,1206,1015,54.3,91.53,82.24,52.67,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"10,500,000",0.1520
