player,team,position,season,games_played,cap_hit,projected_cap_hit
Connor McDavid,EDM,F,2019-20,64,12500000,9948970
Evgeni Malkin,PIT,F,2019-20,55,9500000,9387433
Patrick Kane,CHI,F,2019-20,70,10500000,9344253
Artemi Panarin,NYR,F,2019-20,69,11642857,9313802
Auston Matthews,TOR,F,2019-20,70,11634000,9168079
Leon Draisaitl,EDM,F,2019-20,71,8500000,9139990
Jonathan Toews,CHI,F,2019-20,70,10500000,8992787
Jack Eichel,BUF,F,2019-20,68,10000000,8973652
Mitchell Marner,TOR,F,2019-20,59,10893000,8733662
Anze Kopitar,L.A,F,2019-20,70,10000000,8402486
Alex Ovechkin,WSH,F,2019-20,68,9538462,8343993
John Carlson,WSH,D,2019-20,69,8000000,8335978.5
Brad Marchand,BOS,F,2019-20,70,6125000,8294764
Nikita Kucherov,T.B,F,2019-20,68,9500000,8233179
Blake Wheeler,WPG,F,2019-20,71,8250000,7861807
Brent Burns,S.J,D,2019-20,70,8000000,7810940.5
Tyler Seguin,DAL,F,2019-20,69,9850000,7772036.5
Drew Doughty,L.A,D,2019-20,67,11000000,7732943.5
Ryan Suter,MIN,D,2019-20,69,7538462,7724633
Sidney Crosby,PIT,F,2019-20,41,8700000,7701173
Mark Stone,VGK,F,2019-20,65,9500000,7688825
Steven Stamkos,T.B,F,2019-20,57,8500000,7528459.5
Sebastian Aho,CAR,F,2019-20,68,8454000,7524468
Claude Giroux,PHI,F,2019-20,69,8275000,7452389.5
Nathan MacKinnon,COL,F,2019-20,69,6300000,7371592
Ryan O'Reilly,STL,F,2019-20,71,7500000,7274948.5
Ryan Getzlaf,ANA,F,2019-20,69,8250000,7261299.5
Patrice Bergeron,BOS,F,2019-20,61,6875000,7218644
Kris Letang,PIT,D,2019-20,61,7250000,7207019.5
John Tavares,TOR,F,2019-20,63,11000000,7201298.5
Jonathan Huberdeau,FLA,F,2019-20,68,5900000,7118861
Victor Hedman,T.B,D,2019-20,66,7875000,7051419.5
P.K. Subban,N.J,D,2019-20,68,9000000,6928421.5
Jakub Voracek,PHI,F,2019-20,69,8250000,6907476
Alex Pietrangelo,STL,D,2019-20,70,6500000,6835179
David Pastrnak,BOS,F,2019-20,70,6666667,6827484.5
Jamie Benn,DAL,F,2019-20,69,9500000,6810288
Oliver Ekman-Larsson,ARI,D,2019-20,66,8250000,6807746.5
Mark Scheifele,WPG,F,2019-20,71,6125000,6793636
T.J. Oshie,WSH,F,2019-20,69,5750000,6633165.5
Shea Weber,MTL,D,2019-20,65,7857143,6630248
Mark Giordano,CGY,D,2019-20,60,6750000,6622946
Roman Josi,NSH,D,2019-20,69,4000000,6595533
Evgeny Kuznetsov,WSH,F,2019-20,63,7800000,6594113.5
Zach Parise,MIN,F,2019-20,69,7538462,6589960
Joe Pavelski,DAL,F,2019-20,67,7000000,6567015.5
Aleksander Barkov,FLA,F,2019-20,65,5900000,6566715
Phil Kessel,ARI,F,2019-20,70,8000000,6564820.5
Matt Duchene,NSH,F,2019-20,66,8000000,6554149
Max Pacioretty,VGK,F,2019-20,71,7000000,6543332.5
Travis Konecny,PHI,F,2019-20,66,5500000,6507946.5
Brayden Point,T.B,F,2019-20,66,6750000,6496210.5
Mikko Rantanen,COL,F,2019-20,42,9250000,6445561
Logan Couture,S.J,F,2019-20,52,8000000,6429920
Taylor Hall,ARI,F,2019-20,65,6000000,6420154
Johnny Gaudreau,CGY,F,2019-20,70,6750000,6380100.5
Duncan Keith,CHI,D,2019-20,61,5538462,6375207
Ryan Johansen,NSH,F,2019-20,68,8000000,6372795.5
Matthew Tkachuk,CGY,F,2019-20,69,7000000,6363937
David Krejci,BOS,F,2019-20,61,7250000,6359639.5
Ivan Provorov,PHI,D,2019-20,69,6750000,6340951
Jeff Petry,MTL,D,2019-20,71,5500000,6323223.5
Kyle Connor,WPG,F,2019-20,71,7142857,6301596
Keith Yandle,FLA,D,2019-20,68,6350000,6289504.5
Shea Theodore,VGK,D,2019-20,71,5200000,6277030.5
Evander Kane,S.J,F,2019-20,64,7000000,6266825.5
Erik Karlsson,S.J,D,2019-20,56,11500000,6236450
Dylan Larkin,DET,F,2019-20,71,6100000,6223471
Paul Stastny,VGK,F,2019-20,71,6500000,6169077
Mika Zibanejad,NYR,F,2019-20,57,5350000,6120709
J.T. Miller,VAN,F,2019-20,69,5250000,6093826
Ryan Nugent-Hopkins,EDM,F,2019-20,65,6000000,6079320
Sam Reinhart,BUF,F,2019-20,69,3650000,6010367.5
William Nylander,TOR,F,2019-20,68,6962366,6009138
Patrik Laine,WPG,F,2019-20,68,6750000,5992599.5
Dougie Hamilton,CAR,D,2019-20,47,5750000,5988208.5
Mike Hoffman,FLA,F,2019-20,68,5187500,5978821.5
Bo Horvat,VAN,F,2019-20,69,5500000,5936775.5
Filip Forsberg,NSH,F,2019-20,63,6000000,5925239.5
Kevin Hayes,PHI,F,2019-20,69,7142857,5886298.5
Jacob Trouba,NYR,D,2019-20,70,8000000,5859413
Gabriel Landeskog,COL,F,2019-20,54,5571429,5855141.5
Matt Niskanen,PHI,D,2019-20,68,5750000,5849763
Torey Krug,BOS,D,2019-20,61,5250000,5845851
Sean Monahan,CGY,F,2019-20,70,6375000,5784402.5
Jeff Skinner,BUF,F,2019-20,59,9000000,5750082.5
Alex Goligoski,ARI,D,2019-20,70,5475000,5735315.5
Jaden Schwartz,STL,F,2019-20,71,5350000,5699549.5
William Karlsson,VGK,F,2019-20,63,5900000,5689261
Dustin Brown,L.A,F,2019-20,66,5875000,5677751
