player,team,position,season,games_played,cap_hit,projected_cap_hit,projected_percent_cap_hit
Connor McDavid,EDM,F,2021-22,80,12500000,10838214.01,0.1329842209815979
Connor McDavid,EDM,F,2020-21,56,12500000,10742678.51,0.13181200623512268
Auston Matthews,TOR,F,2021-22,73,11640250,10330627.16,0.12675616145133972
Connor McDavid,EDM,F,2019-20,64,12500000,10296872.88,0.12634199857711792
Alex Ovechkin,WSH,F,2021-22,77,9500000,10097946.85,0.12390118837356567
Patrick Kane,CHI,F,2018-19,81,10500000,10078324.36,0.12677137553691864
Connor McDavid,EDM,F,2018-19,78,12500000,9951664.77,0.12517817318439484
Alex Ovechkin,WSH,F,2019-20,68,9538462,9924195.65,0.12176927179098129
Alex Ovechkin,WSH,F,2018-19,81,9538462,9919536.08,0.1247740387916565
Patrick Kane,CHI,F,2021-22,78,10500000,9674100.21,0.11870061606168747
Patrick Kane,CHI,F,2019-20,70,10500000,9647808.7,0.11837802082300186
Patrick Kane,CHI,F,2020-21,56,10500000,9562340.33,0.11732932925224304
Evgeni Malkin,PIT,F,2019-20,55,9500000,9526327.19,0.11688745021820068
Artemi Panarin,NYR,F,2019-20,69,11642857,9508807.61,0.11667248606681824
Auston Matthews,TOR,F,2019-20,70,11634000,9372848.72,0.1150042787194252
Auston Matthews,TOR,F,2020-21,52,11640250,9349148.22,0.11471347510814667
Artemi Panarin,NYR,F,2020-21,42,11642857,9320561.41,0.11436271667480469
Jonathan Toews,CHI,F,2018-19,82,10500000,9202789.57,0.11575835943222046
Leon Draisaitl,EDM,F,2021-22,80,8500000,9200277.95,0.11288684606552124
Alex Ovechkin,WSH,F,2020-21,45,9538462,9105741.94,0.11172689497470856
Sidney Crosby,PIT,F,2018-19,79,8700000,9095570.56,0.11440969258546829
Anze Kopitar,L.A,F,2020-21,56,10000000,9057052.43,0.11112947762012482
Leon Draisaitl,EDM,F,2020-21,56,8500000,9013533.41,0.11059550195932388
Drew Doughty,LAK,D,2021-22,39,11000000,8999465.28,0.11042288690805435
Jonathan Toews,CHI,F,2019-20,70,10500000,8994630.58,0.11036356538534164
Sidney Crosby,PIT,F,2021-22,69,8700000,8980096.71,0.11018523573875427
Sidney Crosby,PIT,F,2019-20,41,8700000,8917769.59,0.10942048579454422
Alex Ovechkin,WSH,F,2015-16,79,9538462,8867341.74,0.12419246137142181
Leon Draisaitl,EDM,F,2019-20,71,8500000,8850319.34,0.10859287530183792
Alex Ovechkin,WSH,F,2017-18,82,9538462,8825862.97,0.11767817288637161
Evgeni Malkin,PIT,F,2021-22,41,9500000,8824245.21,0.10827294737100601
Alex Ovechkin,WSH,F,2013-14,78,9538462,8821963.7,0.13720005750656128
Artemi Panarin,NYR,F,2021-22,75,11642857,8745657.28,0.10730867832899094
Anze Kopitar,L.A,F,2019-20,70,10000000,8714579.04,0.10692735016345978
Anze Kopitar,L.A,F,2018-19,81,10000000,8709027.7,0.10954751819372177
Mitchell Marner,TOR,F,2020-21,55,10903000,8699450.09,0.10674171894788742
Jack Eichel,BUF,F,2019-20,68,10000000,8688809.74,0.10661116242408752
Sidney Crosby,PIT,F,2020-21,55,8700000,8642078.52,0.10603777319192886
Alex Ovechkin,WSH,F,2014-15,81,9538462,8599537.63,0.12463098019361496
Nikita Kucherov,TBL,F,2021-22,47,9500000,8549121.89,0.10489720106124878
Anze Kopitar,LAK,F,2021-22,81,10000000,8532073.51,0.10468801856040955
Erik Karlsson,SJS,D,2021-22,50,11500000,8522444.18,0.10456986725330353
Claude Giroux,PHI,F,2018-19,82,8275000,8488230.51,0.10677019506692886
Evgeni Malkin,PIT,F,2018-19,68,9500000,8461392.44,0.10643260926008224
Evgeni Malkin,PIT,F,2017-18,78,9500000,8423653.43,0.11231537908315659
Tyler Seguin,DAL,F,2019-20,69,9850000,8408961.01,0.10317743569612503
Drew Doughty,L.A,D,2020-21,56,11000000,8349904.39,0.10245281457901001
Anze Kopitar,L.A,F,2017-18,82,10000000,8313339.76,0.11084453016519547
Jonathan Toews,CHI,F,2017-18,74,10500000,8290007.34,0.11053343117237091
Brent Burns,S.J,D,2018-19,82,8000000,8276454.96,0.1041063517332077
John Tavares,TOR,F,2018-19,82,11000000,8268988.16,0.10401242971420288
Jack Eichel,BUF,F,2018-19,77,10000000,8247600.04,0.10374339669942856
Roman Josi,NSH,D,2021-22,80,9059000,8242477.04,0.10113468766212463
Sidney Crosby,PIT,F,2017-18,82,8700000,8224372.01,0.10965829342603683
Patrick Kane,CHI,F,2017-18,82,10500000,8206882.89,0.10942510515451431
Sidney Crosby,PIT,F,2016-17,75,8700000,8181520.22,0.11207561939954758
Alex Ovechkin,WSH,F,2012-13,48,9538462,8117646.57,0.135294109582901
Brent Burns,S.J,D,2019-20,70,8000000,8002163.95,0.09818606078624725
Erik Karlsson,S.J,D,2019-20,56,11500000,7999349.48,0.09815152734518051
Jonathan Toews,CHI,F,2016-17,72,10500000,7983908.88,0.10936861485242844
Leon Draisaitl,EDM,F,2018-19,82,8500000,7975708.63,0.1003233790397644
Kris Letang,PIT,D,2021-22,78,7250000,7971610.35,0.09781116992235184
