player,position,team,season,age,plusMinus,type,cap_hit,shoots_catches,skater_stats_power_play_goals,skater_stats_power_play_assists,skater_stats_short_handed_goals,skater_stats_short_handed_assists,games_played,diff_all_corsi_percentage,diff_5on5_corsi_percentage,diff_4on5_corsi_percentage,diff_5on4_corsi_percentage,diff_all_shots_on_goal,diff_all_goals,diff_all_high_danger_shots,diff_all_high_danger_goals,diff_5on5_shots_on_goal,diff_5on5_goals,diff_5on5_high_danger_shots,diff_5on5_high_danger_goals,diff_4on5_goals,diff_5on4_shots_on_goal,diff_5on4_goals,all_icetime,x5on5_icetime,x4on5_icetime,x5on4_icetime,all_i_f_shots_on_goal,x5on5_i_f_shots_on_goal,x4on5_i_f_shots_on_goal,x5on4_i_f_shots_on_goal,all_i_f_goals,x5on5_i_f_goals,x4on5_i_f_goals,x5on4_i_f_goals,all_i_f_hits,x5on5_i_f_hits,x4on5_i_f_hits,x5on4_i_f_hits,all_i_f_takeaways,x5on5_i_f_takeaways,x4on5_i_f_takeaways,x5on4_i_f_takeaways,all_i_f_giveaways,x5on5_i_f_giveaways,x4on5_i_f_giveaways,x5on4_i_f_giveaways,all_i_f_high_danger_shots,x5on5_i_f_high_danger_shots,x4on5_i_f_high_danger_shots,x5on4_i_f_high_danger_shots,all_i_f_high_danger_goals,x5on5_i_f_high_danger_goals,x4on5_i_f_high_danger_goals,x5on4_i_f_high_danger_goals,all_faceoffs_won,x5on5_faceoffs_won,x4on5_faceoffs_won,x5on4_faceoffs_won,all_faceoffs_lost,x5on5_faceoffs_lost,x4on5_faceoffs_lost,x5on4_faceoffs_lost,all_shots_blocked_by_player,x5on5_shots_blocked_by_player,x4on5_shots_blocked_by_player,x5on4_shots_blocked_by_player,all_assists,x5on5_assists,x4on5_assists,x5on4_assists,all_diff_penalty_minutes,x5on5_diff_penalty_minutes,x4on5_diff_penalty_minutes,x5on4_diff_penalty_minutes,total_cap,percent_cap_hit,covid
Jonathan Toews,F,CHI,2016-17,28,7,Standard (1-way),10500000,L,7,12,0,0,72,0.06000000000000005,0.020000000000000018,-0.009999999999999995,-0.030000000000000027,61,13,-17,3,-26,9,-18,-3,-15,130,13,87066,66460,5249,10702,199,143,1,36,21,12,0,4,43,37,1,3,37,34,2,0,37,30,2,2,25,12,0,5,11,4,0,3,852,605,71,107,700,496,55,63,32,26,1,5,37,21,0,9,-2,4,0,-4,73000000,0.143836,pre-covid
Patrick Kane,F,CHI,2016-17,27,11,Standard (1-way),10500000,L,8,17,0,0,82,0.12999999999999995,0.020000000000000018,-0.05,0.05999999999999994,213,42,-3,16,-37,9,-30,-9,-1,202,21,105263,83806,361,15711,292,201,0,61,34,23,0,7,28,25,0,2,49,42,1,3,42,34,1,6,18,6,0,5,10,1,0,5,7,3,0,3,44,26,3,1,15,14,1,0,55,29,0,14,12,16,-2,-2,73000000,0.143836,pre-covid
Anze Kopitar,F,L.A,2016-17,28,-10,Standard (1-way),10000000,L,5,14,0,1,76,0.029999999999999916,-0.010000000000000009,-0.020000000000000018,0.06000000000000005,181,1,-3,-6,67,-4,4,-1,-10,181,20,94694,69360,8259,13087,150,97,7,38,12,7,0,5,78,66,3,7,29,18,6,2,37,24,1,8,21,9,2,6,5,3,0,2,892,648,80,101,801,576,68,111,59,43,0,12,40,19,1,14,24,20,-4,2,73000000,0.136986,pre-covid
Alex Ovechkin,F,WSH,2016-17,30,6,Standard (1-way),9538462,R,19,11,0,0,81,0.10999999999999999,-0.020000000000000018,-0.1,0.020000000000000018,295,52,13,17,24,16,-8,-1,0,240,39,89312,68522,31,17376,309,192,0,93,32,14,0,15,216,205,0,6,29,24,0,4,45,37,0,8,26,15,0,9,12,5,0,7,0,0,0,0,1,1,0,0,29,26,1,0,36,27,0,7,-8,-6,0,-2,73000000,0.130664,pre-covid
Evgeni Malkin,F,PIT,2016-17,29,18,Standard (1-way),9500000,L,12,22,0,1,62,0.12999999999999995,0.010000000000000009,-0.14,-0.030000000000000027,229,54,18,12,57,20,-1,0,0,172,29,69263,53363,164,13139,192,115,0,65,33,20,0,10,40,37,0,2,52,46,0,2,54,37,0,15,22,8,0,11,9,1,0,8,365,337,0,12,481,457,3,0,25,25,0,0,39,21,0,10,-28,-24,0,-2,73000000,0.130137,pre-covid
P.K. Subban,D,NSH,2016-17,27,-8,Standard (1-way),9000000,R,3,19,0,1,66,0.030000000000000027,0.040000000000000036,0.010000000000000009,-0.010000000000000009,125,-3,10,-10,128,2,9,-5,-15,90,14,96604,74729,7702,9459,142,99,2,29,10,6,0,2,78,69,4,2,30,21,8,1,58,42,6,3,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,104,79,0,16,30,15,0,10,6,4,0,2,73000000,0.123288,pre-covid
Sidney Crosby,F,PIT,2016-17,28,17,Standard (1-way),8700000,L,18,16,0,0,75,0.13999999999999996,0.06000000000000005,0.22999999999999998,0.010000000000000009,339,60,37,25,124,18,7,5,0,204,31,89450,68953,535,15375,255,173,2,58,44,26,0,12,80,75,0,0,39,33,0,0,70,47,0,15,28,11,0,10,16,5,0,8,842,599,7,175,906,682,77,12,27,24,0,1,45,24,0,9,16,18,0,-4,73000000,0.119178,pre-covid
Corey Perry,F,ANA,2016-17,31,2,Standard (1-way),8625000,R,6,15,0,0,82,0.11999999999999994,0.010000000000000009,-0.11,-0.020000000000000018,195,32,37,18,-10,5,2,-2,0,185,27,87162,70777,128,13195,215,158,0,50,19,13,0,5,81,74,0,5,32,30,0,2,38,27,0,8,25,13,0,9,7,2,0,4,7,5,0,1,13,13,0,0,35,34,0,0,34,18,0,15,-12,-6,0,-8,73000000,0.118151,pre-covid
Steven Stamkos,F,T.B,2016-17,26,3,Standard (1-way),8500000,R,3,4,0,0,17,0.14,0.09000000000000008,-0.1,-0.06999999999999995,60,13,6,6,9,4,4,2,0,46,8,18234,13317,651,3132,58,26,0,25,9,5,0,3,21,19,1,1,15,12,3,0,6,3,0,2,11,5,0,6,5,3,0,2,106,97,5,2,92,80,1,7,3,2,0,1,11,7,0,3,-6,-8,0,0,73000000,0.116438,pre-covid
Claude Giroux,F,PHI,2016-17,28,-15,Standard (1-way),8275000,R,5,26,0,1,82,0.15000000000000002,0.010000000000000009,-0.039999999999999994,0.09000000000000008,383,29,53,19,28,-13,-12,-3,-2,284,40,94019,71482,1252,16889,199,113,0,57,14,6,0,5,68,57,0,8,38,27,1,3,35,23,0,10,8,3,0,3,6,2,0,2,977,675,29,204,771,538,87,23,28,26,0,1,44,12,0,24,10,10,-2,2,73000000,0.113356,pre-covid
