player,position,team,season,age,plusMinus,type,cap_hit,shoots_catches,skater_stats_power_play_goals,skater_stats_power_play_assists,skater_stats_short_handed_goals,skater_stats_short_handed_assists,games_played,diff_all_corsi_percentage,diff_5on5_corsi_percentage,diff_4on5_corsi_percentage,diff_5on4_corsi_percentage,diff_all_shots_on_goal,diff_all_goals,diff_all_high_danger_shots,diff_all_high_danger_goals,diff_5on5_shots_on_goal,diff_5on5_goals,diff_5on5_high_danger_shots,diff_5on5_high_danger_goals,diff_4on5_goals,diff_5on4_shots_on_goal,diff_5on4_goals,all_icetime,x5on5_icetime,x4on5_icetime,x5on4_icetime,all_i_f_shots_on_goal,x5on5_i_f_shots_on_goal,x4on5_i_f_shots_on_goal,x5on4_i_f_shots_on_goal,all_i_f_goals,x5on5_i_f_goals,x4on5_i_f_goals,x5on4_i_f_goals,all_i_f_hits,x5on5_i_f_hits,x4on5_i_f_hits,x5on4_i_f_hits,all_i_f_takeaways,x5on5_i_f_takeaways,x4on5_i_f_takeaways,x5on4_i_f_takeaways,all_i_f_giveaways,x5on5_i_f_giveaways,x4on5_i_f_giveaways,x5on4_i_f_giveaways,all_i_f_high_danger_shots,x5on5_i_f_high_danger_shots,x4on5_i_f_high_danger_shots,x5on4_i_f_high_danger_shots,all_i_f_high_danger_goals,x5on5_i_f_high_danger_goals,x4on5_i_f_high_danger_goals,x5on4_i_f_high_danger_goals,all_faceoffs_won,x5on5_faceoffs_won,x4on5_faceoffs_won,x5on4_faceoffs_won,all_faceoffs_lost,x5on5_faceoffs_lost,x4on5_faceoffs_lost,x5on4_faceoffs_lost,all_shots_blocked_by_player,x5on5_shots_blocked_by_player,x4on5_shots_blocked_by_player,x5on4_shots_blocked_by_player,all_assists,x5on5_assists,x4on5_assists,x5on4_assists,all_diff_penalty_minutes,x5on5_diff_penalty_minutes,x4on5_diff_penalty_minutes,x5on4_diff_penalty_minutes
Connor McDavid,F,EDM,2019-20,22,-6,Standard (1-way),12500000,L,14,34,0,0,64,0.13000000000000006,0,-0.11,0.030000000000000027,147,46,37,27,-54,6,-16,-1,0,177,42,83861,65433,322,13942,211,143,0,49,34,21,0,10,37,30,0,3,53,49,0,3,73,57,0,12,31,18,0,9,13,6,0,5,319,299,1,10,349,333,2,1,18,16,0,0,63,30,0,29,20,16,0,2
Artemi Panarin,F,NYR,2019-20,27,36,Standard (1-way),11642857,R,8,17,0,1,69,0.17999999999999994,0.04999999999999999,0.58,0.13,278,74,20,20,46,34,-2,6,0,199,35,85300,66460,114,14325,208,144,1,50,32,21,0,6,25,21,0,2,56,46,0,3,82,63,1,13,16,7,0,4,10,4,0,2,1,0,0,0,1,0,0,0,18,16,0,1,63,37,0,18,12,12,2,0
Auston Matthews,F,TOR,2019-20,21,19,Standard (1-way),11634000,L,13,14,0,0,70,0.10999999999999999,0.030000000000000027,0.32999999999999996,0.010000000000000009,297,56,33,21,113,20,13,4,0,151,26,87890,70935,150,12093,290,199,0,71,47,31,0,12,40,40,0,0,78,73,0,3,48,42,0,2,19,11,0,4,10,5,0,4,502,454,2,18,416,371,4,2,60,53,0,0,33,16,0,8,20,22,-2,-2
Erik Karlsson,D,S.J,2019-20,29,-15,Standard (1-way),11500000,R,1,12,1,0,56,0.06000000000000005,0.040000000000000036,-0.010000000000000009,0.020000000000000018,76,-15,-7,-7,52,-4,-6,2,-12,126,13,82426,60326,8440,9215,120,86,5,20,6,4,1,1,26,20,1,2,52,41,6,2,68,55,2,6,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,74,55,1,12,35,22,0,11,4,8,0,-4
Drew Doughty,D,L.A,2019-20,29,-16,Standard (1-way),11000000,R,5,9,0,1,67,-0.020000000000000018,-0.050000000000000044,-0.08,0.07000000000000006,23,-15,-8,1,-44,-7,-11,1,-21,156,20,103715,79122,8163,11954,141,61,4,57,7,1,0,4,106,93,6,2,15,12,0,1,82,63,7,4,8,1,1,2,3,0,0,1,0,0,0,0,0,0,0,0,86,59,3,19,29,16,1,8,-24,-26,0,2
John Tavares,F,TOR,2019-20,28,-7,Standard (1-way),11000000,L,7,15,0,0,63,0.08999999999999997,0.010000000000000009,-0.2,0.040000000000000036,196,26,23,15,41,-12,5,-1,0,132,26,73631,59640,42,10431,197,145,0,27,26,13,0,6,32,28,0,2,35,30,0,3,47,42,0,3,22,11,0,4,7,1,0,3,615,446,4,117,498,376,11,4,31,27,0,0,33,16,0,12,8,12,0,0
Mitchell Marner,F,TOR,2019-20,22,6,Standard (1-way),10893000,R,6,20,0,1,59,0.040000000000000036,0.020000000000000018,-0.03,0.06999999999999995,102,20,19,7,45,-4,10,-1,-14,131,23,76062,54505,7551,10047,155,97,11,31,17,7,0,3,24,20,2,1,64,43,14,6,71,47,6,12,15,5,2,3,7,1,0,2,8,5,1,0,19,5,0,6,36,27,0,6,50,26,1,17,10,0,2,0
Jonathan Toews,F,CHI,2019-20,31,-2,Standard (1-way),10500000,L,3,9,1,0,70,0.06000000000000005,0.010000000000000009,-0.06000000000000001,0.040000000000000036,-27,7,-13,-5,-107,-1,-20,-6,-12,156,14,82933,58572,7644,12767,172,108,8,33,18,11,1,0,56,47,4,1,58,46,6,2,40,27,3,5,17,8,0,5,4,2,0,0,854,536,81,157,638,425,89,60,35,25,0,5,42,30,0,6,-20,-12,0,-4
Patrick Kane,F,CHI,2019-20,30,8,Standard (1-way),10500000,L,8,17,0,0,70,0.10000000000000003,-0.020000000000000018,-0.15,0.040000000000000036,116,35,3,6,-102,18,-8,4,-1,173,17,89445,70906,125,14110,275,182,0,55,33,19,0,7,24,22,0,0,43,39,0,3,41,29,0,10,21,11,0,3,8,2,0,3,1,1,0,0,3,1,0,0,19,18,0,0,52,32,0,12,4,12,0,-8
Jack Eichel,F,BUF,2019-20,22,5,Standard (1-way),10000000,R,11,16,1,0,68,0.13999999999999996,0.030000000000000027,0.009999999999999981,0.14,196,31,-10,0,-15,8,-18,-7,-2,180,24,90149,68775,1051,15187,227,137,1,54,36,17,1,9,40,34,0,4,44,37,1,2,66,48,1,12,22,8,0,4,12,1,0,3,615,459,2,106,696,541,57,14,42,36,0,2,43,19,0,16,44,48,2,-4
