player,position,team,season,cap_hit,age,total_cap,percent_cap_hit,type,shoots_catches,skater_stats_power_play_goals,skater_stats_power_play_assists,skater_stats_short_handed_goals,skater_stats_short_handed_assists,plusMinus,games_played,diff_all_corsi_percentage,diff_5on5_corsi_percentage,diff_4on5_corsi_percentage,diff_5on4_corsi_percentage,diff_all_shots_on_goal,diff_all_goals,diff_all_high_danger_shots,diff_all_high_danger_goals,diff_5on5_shots_on_goal,diff_5on5_goals,diff_5on5_high_danger_shots,diff_5on5_high_danger_goals,diff_4on5_goals,diff_5on4_shots_on_goal,diff_5on4_goals,all_icetime,x5on5_icetime,x4on5_icetime,x5on4_icetime,all_i_f_shots_on_goal,x5on5_i_f_shots_on_goal,x4on5_i_f_shots_on_goal,x5on4_i_f_shots_on_goal,all_i_f_goals,x5on5_i_f_goals,x4on5_i_f_goals,x5on4_i_f_goals,all_i_f_hits,x5on5_i_f_hits,x4on5_i_f_hits,x5on4_i_f_hits,all_i_f_takeaways,x5on5_i_f_takeaways,x4on5_i_f_takeaways,x5on4_i_f_takeaways,all_i_f_giveaways,x5on5_i_f_giveaways,x4on5_i_f_giveaways,x5on4_i_f_giveaways,all_i_f_high_danger_shots,x5on5_i_f_high_danger_shots,x4on5_i_f_high_danger_shots,x5on4_i_f_high_danger_shots,all_i_f_high_danger_goals,x5on5_i_f_high_danger_goals,x4on5_i_f_high_danger_goals,x5on4_i_f_high_danger_goals,all_faceoffs_won,x5on5_faceoffs_won,x4on5_faceoffs_won,x5on4_faceoffs_won,all_faceoffs_lost,x5on5_faceoffs_lost,x4on5_faceoffs_lost,x5on4_faceoffs_lost,all_shots_blocked_by_player,x5on5_shots_blocked_by_player,x4on5_shots_blocked_by_player,x5on4_shots_blocked_by_player,all_assists,x5on5_assists,x4on5_assists,x5on4_assists,all_diff_penalty_minutes,x5on5_diff_penalty_minutes,x4on5_diff_penalty_minutes,x5on4_diff_penalty_minutes,covid
Adam Henrique,F,N.J,2011-12,575000,21,64300000,0.008942,Entry_Level,L,0,10,4,4,20,74,0,0.020000000000000018,0.020000000000000018,-0.020000000000000018,25,8,7,4,33,4,5,4,-3,54,7,80631,64367,7698,6877,130,94,17,10,16,10,4,0,83,78,0,2,49,36,9,3,25,20,4,1,13,7,4,0,5,2,2,0,501,391,61,32,525,415,29,54,57,39,1,13,35,22,2,8,26,26,-2,2,pre-covid
Adam Larsson,D,N.J,2011-12,925000,18,64300000,0.014386,Entry_Level,R,0,4,0,1,-4,65,0.030000000000000027,0,0.06999999999999998,-0.040000000000000036,35,0,6,11,-9,-5,4,10,1,55,4,80420,71074,1624,5868,68,56,0,7,2,2,0,0,94,86,5,2,12,11,1,0,44,35,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,61,0,1,16,8,1,3,-8,-6,2,-4,pre-covid
Alec Martinez,D,L.A,2011-12,737500,23,64300000,0.01147,Standard (1-way),L,3,5,0,0,4,51,0.14,0.07999999999999996,0.19,0.030000000000000027,200,11,14,8,126,0,0,1,2,73,11,45043,38442,398,5311,78,54,0,20,6,3,0,2,51,47,1,0,1,0,0,1,11,8,1,2,5,3,0,1,2,1,0,0,0,0,0,0,1,0,0,0,48,43,0,1,6,2,0,4,7,5,2,0,pre-covid
Alex Goligoski,D,DAL,2011-12,1833333,25,64300000,0.028512,Standard (1-way),L,2,7,0,1,0,71,0.12000000000000005,0.07000000000000006,0.08,0.010000000000000009,151,9,16,13,88,2,-4,8,-9,109,15,97006,74061,5346,12888,140,97,2,32,9,7,0,1,49,43,1,2,19,15,1,2,46,35,0,9,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,93,70,3,8,21,10,0,6,4,2,2,0,pre-covid
Alex Ovechkin,F,WSH,2011-12,9538462,25,64300000,0.148343,Standard (1-way),R,15,12,0,0,-10,78,0.11000000000000004,-0.030000000000000027,-0.07,0.08999999999999997,137,28,12,11,-92,-2,-10,-3,0,200,24,92605,73254,140,16010,303,207,0,76,38,20,0,13,215,199,0,11,34,29,0,4,51,41,0,6,25,12,0,10,13,5,0,8,6,5,0,1,9,9,0,0,42,37,0,0,27,15,0,9,32,26,2,-2,pre-covid
Alex Pietrangelo,D,STL,2011-12,816667,21,64300000,0.012701,Entry_Level,R,6,19,0,1,15,81,0.020000000000000018,0.030000000000000027,-0.010000000000000009,0.020000000000000018,127,26,41,15,101,11,14,5,-14,161,26,120109,86293,14894,13284,202,135,6,45,12,4,0,5,90,65,16,3,47,35,9,0,37,26,5,5,14,2,0,8,4,0,0,3,0,0,0,0,0,0,0,0,133,83,2,38,39,17,1,16,-8,0,-2,0,pre-covid
Alexander Edler,D,VAN,2011-12,3250000,25,64300000,0.050544,Standard (1-way),L,6,17,1,0,-2,82,0.050000000000000044,0,0.06999999999999999,0.020000000000000018,106,23,0,8,-25,-7,-19,-12,-10,210,30,117414,86252,10623,15693,228,127,4,70,11,5,1,5,143,118,14,7,32,19,7,5,51,39,6,4,4,1,1,2,3,0,1,2,0,0,0,0,3,3,0,0,145,111,3,18,38,16,0,15,-10,-10,4,-2,pre-covid
Alexander Radulov,F,NSH,2011-12,NA,24,64300000,NA,Entry_Level,L,0,3,0,0,5,9,0.07,0.020000000000000018,0,-0.32999999999999996,9,5,3,1,9,3,2,0,0,-1,2,10448,9269,7,828,21,20,0,0,3,3,0,0,5,5,0,0,5,4,0,0,4,3,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,4,3,0,1,-2,-2,0,0,pre-covid
Andrej Sekera,D,BUF,2011-12,2750000,25,64300000,0.042768,Standard (1-way),L,1,0,0,0,3,69,0,0.040000000000000036,0.020000000000000004,-0.030000000000000027,-1,-7,-9,-8,34,4,1,1,-13,37,3,81155,68024,6584,3691,88,66,2,12,3,2,0,1,56,53,1,2,25,22,2,0,30,22,2,3,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,93,68,1,13,10,8,0,0,8,6,-2,0,pre-covid
Andrew Cogliano,F,ANA,2011-12,2390000,24,64300000,0.03717,Standard (1-way),L,2,1,0,0,-4,82,-0.04999999999999999,-0.010000000000000009,-0.01999999999999999,0,-86,-11,-22,-3,-22,-3,-8,3,-11,29,4,72293,60325,7684,2667,115,101,7,5,13,11,0,2,88,81,2,2,32,17,13,1,32,25,3,3,7,6,0,1,4,3,0,1,162,123,18,6,224,172,8,16,43,35,0,5,13,12,0,1,18,12,2,0,pre-covid
Andrew Ladd,F,WPG,2011-12,4400000,25,64300000,0.068429,Standard (1-way),L,4,8,0,0,-8,82,0.10999999999999993,0.07000000000000006,0.1,0.030000000000000027,201,2,16,3,102,-4,16,3,-9,120,13,96264,72844,7219,11703,265,210,7,33,28,22,0,4,76,63,3,7,40,28,8,1,43,28,4,10,27,19,0,6,8,6,0,1,32,21,2,4,27,21,4,1,25,19,0,4,22,13,0,6,-10,-6,1,-7,pre-covid
Andrew Shaw,F,CHI,2011-12,573333,19,64300000,0.008917,Entry_Level,R,0,4,0,0,-2,37,0.020000000000000018,-0.020000000000000018,-0.030000000000000013,-0.050000000000000044,35,2,14,5,13,-3,7,2,-2,31,6,33761,28742,545,3500,74,63,1,8,12,11,0,0,82,76,0,4,16,14,1,1,5,3,0,2,14,10,0,3,2,2,0,0,41,38,0,3,47,38,3,0,21,18,0,1,11,6,0,4,16,12,2,2,pre-covid
Andy Greene,D,N.J,2011-12,3000000,28,64300000,0.046656,Standard (1-way),L,0,1,0,0,4,56,-0.040000000000000036,0.010000000000000009,0.010000000000000009,0.08999999999999997,-37,-1,-7,3,9,4,1,6,-6,17,2,65538,56059,5853,1447,53,43,1,3,1,1,0,0,35,29,4,0,15,11,3,0,15,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,75,1,7,15,13,0,0,0,-2,-2,0,pre-covid
Anton Stralman,D,NYR,2011-12,900000,24,64300000,0.013997,Standard (1-way),R,2,6,0,0,10,53,0.020000000000000018,0,0.04999999999999999,-0.030000000000000027,11,12,8,5,-11,7,1,3,-2,34,5,54376,47310,1875,3786,55,45,0,6,2,2,0,0,76,72,3,1,11,8,2,0,12,10,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,71,64,0,1,16,9,0,4,-12,-10,-2,0,pre-covid
Anze Kopitar,F,L.A,2011-12,6800000,23,64300000,0.105754,Standard (1-way),L,8,24,4,3,28,82,0.08999999999999997,0.04999999999999993,0.04999999999999999,-0.030000000000000027,270,31,38,23,185,7,13,5,-8,142,20,104987,73427,10510,15039,230,152,13,35,25,14,2,6,72,58,4,4,76,59,10,1,56,37,3,11,26,13,2,4,9,2,1,4,763,517,72,100,655,438,84,79,53,26,2,14,51,27,1,12,22,22,-2,2,pre-covid
Blake Comeau,F,CGY,2011-12,2500000,25,64300000,0.03888,Standard (1-way),R,0,0,0,0,-11,74,0.010000000000000009,0.03999999999999998,0.01999999999999999,-0.040000000000000036,-66,-12,-12,-5,-39,-10,-17,-6,-3,24,3,68600,58813,5617,2798,137,118,5,8,5,5,0,0,144,138,6,0,37,29,7,0,33,27,3,1,11,8,1,0,1,1,0,0,29,24,3,0,62,42,2,12,22,17,0,1,10,9,0,0,-6,-2,-2,0,pre-covid
Blake Wheeler,F,WPG,2011-12,2550000,24,64300000,0.039658,Standard (1-way),R,6,9,0,0,3,80,0.12999999999999995,0.040000000000000036,0,0.010000000000000009,236,24,20,8,77,4,8,5,-2,123,17,91562,75515,846,11496,208,174,0,25,17,11,0,5,113,100,1,4,50,46,1,0,33,27,0,4,25,17,0,6,9,5,0,3,4,1,0,1,6,4,0,0,46,39,0,3,47,32,0,9,6,12,2,-6,pre-covid
Brad Malone,F,COL,2011-12,700000,22,64300000,0.010886,Entry_Level,L,0,0,0,0,1,9,0.010000000000000009,0.010000000000000009,-0.31,0.16000000000000003,7,1,1,0,6,1,1,0,0,1,0,5423,5362,3,27,6,5,0,1,0,0,0,0,13,13,0,0,7,7,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,7,7,0,0,1,1,0,0,2,2,0,0,6,6,0,0,pre-covid
Brad Marchand,F,BOS,2011-12,2500000,23,64300000,0.03888,Standard (1-way),L,5,2,1,2,30,76,0.08999999999999997,0.06999999999999995,0.09,0.030000000000000027,239,35,28,7,170,23,14,0,-7,111,14,80359,62858,6167,9615,167,121,15,21,28,18,1,5,72,68,3,0,40,31,7,1,41,36,2,2,16,7,1,4,6,1,0,2,5,3,1,0,4,2,0,1,21,15,0,5,27,22,2,1,-3,4,-15,2,pre-covid
Brad Richardson,F,L.A,2011-12,1175000,26,64300000,0.018274,Standard (1-way),L,0,0,1,0,-6,59,0.039999999999999925,0.05999999999999994,0.009999999999999995,0.050000000000000044,88,-9,1,-3,101,-7,1,-1,-2,9,0,45527,41240,2812,801,98,90,2,1,5,4,1,0,65,62,3,0,20,18,2,0,13,12,0,1,11,8,1,0,4,3,1,0,33,27,5,0,23,17,2,1,15,13,0,1,3,3,0,0,12,14,-2,0,pre-covid
Brandon Saad,F,CHI,2011-12,795000,18,64300000,0.012364,Entry_Level,L,0,0,0,0,2,2,-0.17999999999999994,-0.20000000000000007,-0.13,-0.13,-5,0,2,0,-6,0,2,0,0,1,0,1682,1503,3,163,3,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,pre-covid
Brandon Sutter,F,CAR,2011-12,2066667,22,64300000,0.032141,Standard (1-way),R,2,1,3,0,-3,81,-0.09000000000000002,-0.020000000000000018,-0.03,-0.05999999999999994,-182,-26,-34,-18,-58,-6,-2,-4,-19,12,2,84479,68199,10626,1650,169,141,14,4,16,9,3,1,53,49,1,0,60,53,6,0,29,25,3,0,14,6,3,2,6,2,1,1,646,494,99,12,628,461,21,59,82,57,0,9,15,13,0,1,28,18,-2,10,pre-covid
Brayden Schenn,F,PHI,2011-12,870000,19,64300000,0.01353,Entry_Level,L,6,2,0,0,-10,54,0.010000000000000009,-0.010000000000000009,0.07999999999999999,-0.050000000000000044,71,3,17,7,7,-6,-1,1,-2,59,11,45763,38332,430,5356,97,75,0,19,12,8,0,4,136,129,0,4,11,10,0,1,15,13,0,2,12,7,0,5,7,4,0,3,201,167,2,14,235,203,3,0,26,20,0,0,6,5,0,1,10,6,0,0,pre-covid
